18.00,8,307.00,130,3504,12,70,1,chevrolet chevelle malibu
15.00,8,350.00,165,3693,12,70,1,buick skylark 320
18.00,8,318.00,150,3436,11,70,1,plymouth satellite
16.00,8,304.00,150,3433,12,70,1,amc rebel sst
17.00,8,302.00,140,3449,11,70,1,ford torino
15.00,8,429.00,198,4341,10,70,1,ford galaxie 500
14.00,8,454.00,220,4354,9,70,1,chevrolet impala
14.00,8,440.00,215,4312,9,70,1,plymouth fury iii
14.00,8,455.00,225,4425,10,70,1,pontiac catalina
15.00,8,390.00,190,3850,9,70,1,amc ambassador dpl
15.00,8,383.00,170,3563,10,70,1,dodge challenger se
14.00,8,340.00,160,3609,8,70,1,plymouth 'cuda 340
15.00,8,400.00,150,3761,10,70,1,chevrolet monte carlo
14.00,8,455.00,225,3086,10,70,1,buick estate wagon (sw)
24.00,4,113.00,95,2372,15,70,3,toyota corona mark ii
22.00,6,198.00,95,2833,16,70,1,plymouth duster
18.00,6,199.00,97,2774,16,70,1,amc hornet
21.00,6,200.00,85,2587,16,70,1,ford maverick
27.00,4,97.00,88,2130,15,70,3,datsun pl510
26.00,4,97.00,46,1835,21,70,2,volkswagen 1131 deluxe sedan
25.00,4,110.00,87,2672,18,70,2,peugeot 504
24.00,4,107.00,90,2430,15,70,2,audi 100 ls
25.00,4,104.00,95,2375,18,70,2,saab 99e
26.00,4,121.00,113,2234,13,70,2,bmw 2002
21.00,6,199.00,90,2648,15,70,1,amc gremlin
10.00,8,360.00,215,4615,14,70,1,ford f250
10.00,8,307.00,200,4376,15,70,1,chevy c20
11.00,8,318.00,210,4382,14,70,1,dodge d200
9.00,8,304.00,193,4732,19,70,1,hi 1200d
27.00,4,97.00,88,2130,15,71,3,datsun pl510
28.00,4,140.00,90,2264,16,71,1,chevrolet vega 2300
25.00,4,113.00,95,2228,14,71,3,toyota corona
25.00,4,98.00,?,2046,19,71,1,ford pinto
19.00,6,232.00,100,2634,13,71,1,amc gremlin
16.00,6,225.00,105,3439,16,71,1,plymouth satellite custom
17.00,6,250.00,100,3329,16,71,1,chevrolet chevelle malibu
19.00,6,250.00,88,3302,16,71,1,ford torino 500
18.00,6,232.00,100,3288,16,71,1,amc matador
14.00,8,350.00,165,4209,12,71,1,chevrolet impala
14.00,8,400.00,175,4464,12,71,1,pontiac catalina brougham
14.00,8,351.00,153,4154,14,71,1,ford galaxie 500
14.00,8,318.00,150,4096,13,71,1,plymouth fury iii
12.00,8,383.00,180,4955,12,71,1,dodge monaco (sw)
13.00,8,400.00,170,4746,12,71,1,ford country squire (sw)
13.00,8,400.00,175,5140,12,71,1,pontiac safari (sw)
18.00,6,258.00,110,2962,14,71,1,amc hornet sportabout (sw)
22.00,4,140.00,72,2408,19,71,1,chevrolet vega (sw)
19.00,6,250.00,100,3282,15,71,1,pontiac firebird
18.00,6,250.00,88,3139,15,71,1,ford mustang
23.00,4,122.00,86,2220,14,71,1,mercury capri 2000
28.00,4,116.00,90,2123,14,71,2,opel 1900
30.00,4,79.00,70,2074,20,71,2,peugeot 304
30.00,4,88.00,76,2065,15,71,2,fiat 124b
31.00,4,71.00,65,1773,19,71,3,toyota corolla 1200
35.00,4,72.00,69,1613,18,71,3,datsun 1200
27.00,4,97.00,60,1834,19,71,2,volkswagen model 111
26.00,4,91.00,70,1955,21,71,1,plymouth cricket
24.00,4,113.00,95,2278,16,72,3,toyota corona hardtop
25.00,4,97.50,80,2126,17,72,1,dodge colt hardtop
23.00,4,97.00,54,2254,24,72,2,volkswagen type 3
20.00,4,140.00,90,2408,20,72,1,chevrolet vega
21.00,4,122.00,86,2226,17,72,1,ford pinto runabout
13.00,8,350.00,165,4274,12,72,1,chevrolet impala
14.00,8,400.00,175,4385,12,72,1,pontiac catalina
15.00,8,318.00,150,4135,14,72,1,plymouth fury iii
14.00,8,351.00,153,4129,13,72,1,ford galaxie 500
17.00,8,304.00,150,3672,12,72,1,amc ambassador sst
11.00,8,429.00,208,4633,11,72,1,mercury marquis
13.00,8,350.00,155,4502,14,72,1,buick lesabre custom
12.00,8,350.00,160,4456,14,72,1,oldsmobile delta 88 royale
13.00,8,400.00,190,4422,13,72,1,chrysler newport royal
19.00,3,70.00,97,2330,14,72,3,mazda rx2 coupe
15.00,8,304.00,150,3892,13,72,1,amc matador (sw)
13.00,8,307.00,130,4098,14,72,1,chevrolet chevelle concours (sw)
13.00,8,302.00,140,4294,16,72,1,ford gran torino (sw)
14.00,8,318.00,150,4077,14,72,1,plymouth satellite custom (sw)
18.00,4,121.00,112,2933,15,72,2,volvo 145e (sw)
22.00,4,121.00,76,2511,18,72,2,volkswagen 411 (sw)
21.00,4,120.00,87,2979,20,72,2,peugeot 504 (sw)
26.00,4,96.00,69,2189,18,72,2,renault 12 (sw)
22.00,4,122.00,86,2395,16,72,1,ford pinto (sw)
28.00,4,97.00,92,2288,17,72,3,datsun 510 (sw)
